x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point
0,1,0,1,0,0,0.0,13.405,0,1,0.18491912568306026,1,2023-wimbledon-1101,0
15,1,0,1,0,0,0.0,5.023,0,0,-0.0729071038251366,1,2023-wimbledon-1101,0
30,1,0,1,0,0,0.0,8.263,0,1,2.534660109289617,1,2023-wimbledon-1101,1
40,1,0,1,0,0,0.0,3.919,0,1,5.564990163934425,0,2023-wimbledon-1101,0
25,1,0,1,0,0,0.0,15.68,0,0,2.88459781420765,1,2023-wimbledon-1101,1
0,1,1,1,0,0,0.0,1.299,1,1,4.0485890710382515,1,2023-wimbledon-1101,1
15,1,1,1,0,0,0.0,5.78,1,0,4.469832786885246,1,2023-wimbledon-1101,1
30,1,1,1,0,0,0.0,0.813,1,1,4.891373770491803,1,2023-wimbledon-1101,0
40,1,1,1,0,0,0.0,3.594,1,1,7.795695081967214,1,2023-wimbledon-1101,0
0,1,0,0,0,1,0.0,5.454,1,1,8.012365573770492,1,2023-wimbledon-1102,1
15,1,0,0,0,1,0.0,25.089,1,0,8.69115464480874,0,2023-wimbledon-1102,0
0,1,0,0,0,1,0.0,7.322,1,1,6.394768852459015,1,2023-wimbledon-1102,0
15,1,0,0,0,1,0.0,7.096,1,1,5.163881420765027,0,2023-wimbledon-1102,0
0,1,0,0,0,1,0.0,20.404,1,0,0.04000000000000008,1,2023-wimbledon-1102,0
10,1,0,0,0,1,0.0,2.38,1,0,0.009999999999999981,1,2023-wimbledon-1102,0
0,1,0,0,0,0,1.0,3.199,0,0,4.9,0,2023-wimbledon-1102,0
-15,0,0,0,0,0,1.0,1.333,0,1,2.84,0,2023-wimbledon-1102,1
-30,0,0,0,0,0,1.0,5.44,0,1,3.29,1,2023-wimbledon-1102,0
-15,0,0,0,0,0,1.0,31.367,0,1,3.2600000000000002,1,2023-wimbledon-1102,0
0,1,0,0,0,0,1.0,2.175,0,1,0.09000000000000002,0,2023-wimbledon-1102,0
-10,0,0,0,0,0,1.0,6.305,0,1,0.09000000000000008,0,2023-wimbledon-1102,0
0,1,0,1,0,0,0.0,2.888,1,1,3.0700000000000003,1,2023-wimbledon-1102,0
15,1,0,1,0,0,0.0,3.955,1,1,3.2399999999999998,0,2023-wimbledon-1102,0
0,1,0,1,0,0,0.0,19.582,1,1,1.0099999999999996,1,2023-wimbledon-1102,0
15,1,0,1,0,0,0.0,27.804,1,0,3.2399999999999998,0,2023-wimbledon-1102,0
0,1,0,1,0,0,0.0,5.732,1,1,0.09000000000000008,1,2023-wimbledon-1102,1
10,1,0,1,0,0,0.0,8.018,1,0,0.060000000000000026,1,2023-wimbledon-1102,0
0,1,0,0,0,0,0.0,11.271,0,1,2.5500000000000003,0,2023-wimbledon-1102,0
-15,0,0,0,0,0,0.0,33.905,0,1,0.49,0,2023-wimbledon-1102,1
-30,0,0,0,0,0,0.0,2.161,0,1,0.8899999999999997,0,2023-wimbledon-1102,1
-40,0,0,0,0,0,0.0,20.406,0,1,-1.17,0,2023-wimbledon-1102,0
