x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point,win_predict
15,1,0,1,0,1,0.5,21.897,1,1,0.8238508196721311,1,2023-wimbledon-2602,1,-12.073639000000002
25,1,0,1,0,1,0.5,7.436,1,1,2.7574606557377046,0,2023-wimbledon-2602,0,-38.54823199999999
10,1,0,1,0,1,0.5,11.973,1,1,3.0332103825136603,1,2023-wimbledon-2602,0,-9.352051000000001
0,1,0,0,0,0,0.0,5.39,0,1,2.720962841530054,0,2023-wimbledon-2602,0,3.4780699999999998
-15,0,0,0,0,0,0.0,10.883,0,0,0.6754830601092897,0,2023-wimbledon-2602,1,33.086279
-30,0,0,0,0,0,0.0,7.198,0,1,-1.6168431693989072,0,2023-wimbledon-2602,1,57.335374
-40,0,0,0,0,0,0.0,14.968,0,1,-1.1541273224043715,0,2023-wimbledon-2602,0,79.708384
0,1,0,1,0,0,0.0,8.157,1,1,-3.48287650273224,1,2023-wimbledon-2602,0,5.765241
15,1,0,1,0,0,0.0,11.635,1,1,-1.2372672131147537,1,2023-wimbledon-2602,0,-18.517744999999998
30,1,0,1,0,0,0.0,22.765,1,1,1.0982409836065576,1,2023-wimbledon-2602,1,-38.11005499999999
40,1,0,1,0,0,0.0,29.592,1,0,3.6174306010928965,0,2023-wimbledon-2602,0,-51.62810399999999
25,1,0,1,0,0,0.0,6.607,1,0,2.866526775956283,0,2023-wimbledon-2602,1,-39.30290899999999
10,1,0,1,0,0,0.0,4.628,1,1,0.08222295081967268,1,2023-wimbledon-2602,0,-14.008035999999999
0,1,0,0,0,0,0.0,1.522,0,1,0.035257923497267966,0,2023-wimbledon-2602,0,1.106986
-15,0,0,0,0,0,0.0,24.22,0,1,-2.2189224043715847,0,2023-wimbledon-2602,1,41.35486
-30,0,0,0,0,0,0.0,7.242,0,0,-1.6801879781420765,1,2023-wimbledon-2602,0,57.269346
-15,0,0,0,0,0,0.0,16.149,0,1,0.7635814207650276,1,2023-wimbledon-2602,0,36.407337000000005
0,1,0,0,0,0,0.0,2.062,0,1,0.0003819672131150434,0,2023-wimbledon-2602,0,1.438006
